Time,Altitude,Displacement_Y,Velocity_X,Velocity_Y,Velocity_Z,Velocity_Magnitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Acceleration_Magnitude,Mass,Fuel_Ratio,Air_Density,Air_Pressure,Temperature,Dynamic_Pressure,Mach_Number,Drag_Coefficient,Lift_Coefficient
0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,1.000000,1.208557,99964.953444,287.500000,0.000000,0.000000,0.000000,0.000000
1.000000,105.235190,0.000274,10.604963,0.000828,-0.000000,10.604963,10.955306,0.001675,-0.000001,10.955306,4830.105335,0.943368,1.207703,99894.257444,287.465971,67.912277,0.031201,0.000000,0.000000
2.000000,121.432098,0.002230,21.931273,0.003386,-0.000003,21.931273,11.696329,0.003459,-0.000006,11.696329,4660.210669,0.886737,1.205062,99675.850856,287.360691,289.805824,0.064537,0.000000,0.000000
3.010000,149.672833,0.007732,34.144131,0.007837,-0.000016,34.144132,12.486190,0.005372,-0.000022,12.486191,4488.617057,0.829539,1.200472,99296.181290,287.177127,699.768174,0.100507,0.000000,0.000000
4.010000,190.187138,0.018579,47.043348,0.014201,-0.000054,47.043350,13.310130,0.007375,-0.000058,13.310132,4318.722392,0.772907,1.193917,98754.029496,286.913784,1321.115517,0.138541,0.000000,0.000000
5.010000,244.019169,0.036807,60.788069,0.022621,-0.000141,60.788073,14.176479,0.009480,-0.000123,14.176482,4148.827727,0.716276,1.185264,98038.240240,286.563875,2189.887188,0.179129,0.000000,0.000000
6.010000,312.035727,0.064522,75.421055,0.033194,-0.000314,75.421062,15.085834,0.011682,-0.000230,15.085838,3978.933062,0.659644,1.174419,97141.257533,286.121768,3340.246271,0.222420,0.000000,0.000000
7.010000,395.146660,0.103925,90.985641,0.046014,-0.000621,90.985653,16.038752,0.013970,-0.000395,16.038758,3809.038396,0.603013,1.161303,96056.347769,285.581547,4806.858978,0.268575,0.000000,0.000000
8.010000,494.305445,0.157301,107.525759,0.061157,-0.001130,107.525776,17.035878,0.016327,-0.000638,17.035885,3639.143731,0.546381,1.145846,94777.793823,284.937015,6624.014080,0.317757,0.000000,0.000000
9.010000,610.509848,0.227007,125.086108,0.078685,-0.001930,125.086133,18.078130,0.018735,-0.000980,18.078140,3469.249066,0.489750,1.127993,93301.094777,284.181686,8824.590345,0.370142,0.000000,0.000000
10.010000,744.802881,0.315447,143.712570,0.098634,-0.003133,143.712604,19.166981,0.021166,-0.001447,19.166993,3299.354400,0.433118,1.107707,91623.165172,283.308781,11438.905891,0.425914,0.000000,0.000000
11.010000,898.274309,0.425050,163.452931,0.121013,-0.004876,163.452976,20.304823,0.023587,-0.002066,20.304837,3129.459735,0.376487,1.084970,89742.526377,282.311217,14493.505439,0.485273,0.000000,0.000000
12.010000,1072.063104,0.558234,184.358055,0.145790,-0.007328,184.358112,21.495477,0.025957,-0.002870,21.495493,2959.565070,0.319855,1.059786,87659.481502,281.181590,18009.965617,0.548436,0.000000,0.000000
13.010000,1267.361327,0.717362,206.483619,0.172891,-0.010689,206.483691,22.744845,0.028224,-0.003891,22.744863,2789.670404,0.263223,1.032183,85376.264451,279.912151,22003.822894,0.615647,0.000000,0.000000
14.010000,1485.420128,0.904698,229.892621,0.202180,-0.015195,229.892710,24.061775,0.030325,-0.005163,24.061794,2619.775739,0.206592,1.002211,82897.153320,278.494769,26483.751202,0.687185,0.000000,0.000000
15.010000,1727.558707,1.122336,254.658864,0.233457,-0.021114,254.658972,25.459177,0.032184,-0.006721,25.459198,2449.881074,0.149960,0.969948,80228.538497,276.920868,31451.135018,0.763376,0.000000,0.000000
16.010000,1995.117117,1.372067,280.530560,0.266100,-0.028710,280.530688,25.654643,0.032422,-0.008442,25.654665,2279.986408,0.093329,0.935504,77379.566834,275.181739,36810.907789,0.843583,0.000000,0.000000
17.010000,2288.254961,1.654042,305.553060,0.297518,-0.037967,305.553208,24.254047,0.030125,-0.010039,24.254068,2110.091743,0.036697,0.899170,74374.231360,273.276343,41974.512915,0.922026,0.000000,0.000000
18.000000,2599.278239,1.962756,310.816972,0.325714,-0.048499,310.817147,-28.445215,0.027538,-0.010803,28.445230,2000.000000,0.000000,0.862161,71313.051162,271.254691,41645.534213,0.941399,0.000000,0.000000
19.000000,2896.990997,2.302154,285.538983,0.353059,-0.059122,285.539208,-22.579224,0.027128,-0.010470,22.579242,2000.000000,0.000000,0.828164,68500.969783,269.319559,33761.186482,0.867939,0.000000,0.000000
20.000000,3171.948784,2.668674,264.965861,0.379942,-0.069478,264.966142,-18.823752,0.026628,-0.010255,18.823774,2000.000000,0.000000,0.797957,66002.422440,267.532333,28011.097264,0.808089,0.000000,0.000000
21.000000,3427.856265,3.061623,247.068062,0.405617,-0.079508,247.068408,-17.200661,0.024519,-0.009755,17.200681,2000.000000,0.000000,0.770833,63758.936397,265.868934,23526.914682,0.755859,0.000000,0.000000
22.000000,3666.540985,3.479117,230.467689,0.429059,-0.088980,230.468106,-16.035949,0.022411,-0.009188,16.035968,2000.000000,0.000000,0.746367,61735.224096,264.317484,19821.849540,0.707139,0.000000,0.000000
23.000000,3889.172900,3.919044,214.932213,0.450519,-0.097884,214.932707,-15.063519,0.020544,-0.008622,15.063535,2000.000000,0.000000,0.724247,59905.556704,262.870376,16728.677433,0.661285,0.000000,0.000000
24.000000,4096.727765,4.379532,200.289458,0.470211,-0.106226,200.290039,-14.244973,0.018868,-0.008063,14.244988,2000.000000,0.000000,0.704215,58248.673072,261.521270,14125.187368,0.617822,0.000000,0.000000
25.000000,4290.026660,4.858902,186.400750,0.488305,-0.114015,186.401425,-13.551198,0.017345,-0.007517,13.551211,2000.000000,0.000000,0.686058,56746.832514,260.264827,11918.718453,0.576366,0.000000,0.000000
26.000000,4469.765312,5.355628,173.152992,0.504941,-0.121266,173.153771,-12.959797,0.015945,-0.006986,12.959809,2000.000000,0.000000,0.669595,55385.112661,259.096525,10037.982409,0.536610,0.000000,0.000000
27.000000,4636.536648,5.868308,160.452891,0.520230,-0.127993,160.453785,-12.453315,0.014647,-0.006471,12.453325,2000.000000,0.000000,0.654674,54150.876833,258.012512,8427.425190,0.498295,0.000000,0.000000
28.000000,4790.848360,6.395644,148.222672,0.534262,-0.134212,148.223696,-12.017995,0.013430,-0.005970,12.018004,2000.000000,0.000000,0.641163,53033.364373,257.009486,7043.263487,0.461212,0.000000,0.000000
29.000000,4933.136731,6.936416,136.396853,0.547113,-0.139938,136.398022,-11.642889,0.012282,-0.005485,11.642896,2000.000000,0.000000,0.628953,52023.371719,256.084611,5850.650052,0.425181,0.000000,0.000000
30.000000,5063.777644,7.489475,124.919772,0.558844,-0.145186,124.921106,-11.319208,0.011189,-0.005014,11.319214,2000.000000,0.000000,0.617946,51113.001448,255.235445,4821.614741,0.390052,0.000000,0.000000
31.000000,5183.095410,8.053729,113.743679,0.569506,-0.149970,113.745203,-11.039848,0.010143,-0.004556,11.039853,2000.000000,0.000000,0.608063,50295.462979,254.459880,3933.548169,0.355697,0.000000,0.000000
32.000000,5291.369905,8.628128,102.827239,0.579142,-0.154301,102.828985,-10.799035,0.009134,-0.004109,10.799039,2000.000000,0.000000,0.599230,49564.913057,253.756096,3168.071177,0.322006,0.000000,0.000000
33.000000,5388.842363,9.211666,92.134341,0.587786,-0.158192,92.136352,-10.592054,0.008158,-0.003674,10.592058,2000.000000,0.000000,0.591389,48916.327264,253.122525,2510.182787,0.288884,0.000000,0.000000
34.000000,5475.720111,9.803365,81.633145,0.595467,-0.161652,81.635477,-10.415052,0.007208,-0.003248,10.415055,2000.000000,0.000000,0.584487,48345.396016,252.557819,1947.612133,0.256245,0.000000,0.000000
35.000000,5552.180439,10.402275,71.295303,0.602210,-0.164691,71.298037,-10.264872,0.006280,-0.002831,10.264875,2000.000000,0.000000,0.578479,47848.440151,252.060827,1470.321836,0.224018,0.000000,0.000000
36.000000,5618.373760,11.007468,61.095322,0.608033,-0.167317,61.098577,-10.138944,0.005370,-0.002421,10.138946,2000.000000,0.000000,0.573327,47422.342348,251.630571,1070.125397,0.192135,0.000000,0.000000
37.000000,5674.426196,11.618032,51.010030,0.612954,-0.169536,51.013995,-10.035184,0.004474,-0.002018,10.035185,2000.000000,0.000000,0.569001,47064.491543,251.266230,740.391655,0.160539,0.000000,0.000000
